244,HLT-STD-010,"Publish dissenting opinions",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
235,HLT-STD-011,"Independent audit systems",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
245,HLT-STD-011,"Independent audit systems",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
280,HLT-STD-012,"Treat addiction as medical condition",MISSING,"Context-based conversion to the later structured ID corpus."
283,HLT-STD-013,"Harm reduction strategies",MISSING,"Context-based conversion to the later structured ID corpus."
217,HLT-SUP-001,"Supplement research funding",MISSING,"Context-based conversion to the later structured ID corpus."
218,HLT-SUP-002,"Supplement labeling standards",MISSING,"Context-based conversion to the later structured ID corpus."
219,HLT-SUP-003,"Supplement lab transparency",MISSING,"Context-based conversion to the later structured ID corpus."
220,HLT-SUP-004,"Minimum supplement quality standards",MISSING,"Context-based conversion to the later structured ID corpus."
252,HLT-TEL-001,"Telemedicine without regional restriction",MISSING,"Context-based conversion to the later structured ID corpus."
253,HLT-TEL-002,"Telemedicine as access equalizer",MISSING,"Context-based conversion to the later structured ID corpus."
213,HLT-TRL-001,"Approvals and trials for new treatments funded and streamlined",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
214,HLT-TRL-001,"Approvals and trials for new treatments funded and streamlined",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
267,MED-PRS-001,"Protect journalists",MISSING,"Context-based conversion to the later structured ID corpus."
268,MED-PRS-002,"Protect sources",MISSING,"Context-based conversion to the later structured ID corpus."
269,MED-PRS-003,"Limit compelled disclosure",MISSING,"Context-based conversion to the later structured ID corpus."
270,MED-PRS-004,"Ban retaliation against journalists",MISSING,"Context-based conversion to the later structured ID corpus."
272,MED-PRS-005,"Prevent misuse of secrecy laws",MISSING,"Context-based conversion to the later structured ID corpus."
273,MED-PRS-006,"Judicial review before disclosure",MISSING,"Context-based conversion to the later structured ID corpus."
274,MED-PRS-007,"Limit surveillance of journalists",MISSING,"Context-based conversion to the later structured ID corpus."
275,MED-PRS-008,"Include independent journalists",MISSING,"Context-based conversion to the later structured ID corpus."
277,MED-PRS-009,"Transparency on targeting journalists",MISSING,"Context-based conversion to the later structured ID corpus."
