policyos_rule_id,scope_code,family_code,rule_text,primary_foundation,applies_to,source_basis,status
PLOS-AIGV-0007,SYS,AIGV,"Frontier or high-impact AI systems may not be deployed where catastrophic, systemic, or unreviewable risks cannot be sufficiently mitigated.",Real Freedom,"Technology and AI","sources/political_project_brainstorm.txt:43558-43560",PROPOSED
PLOS-AIGV-0008,SYS,AIGV,"Affected individuals, regulators, and courts must be able to review rights-impacting AI systems without trade-secret claims swallowing accountability.",Real Freedom + Equal Justice,"Technology and AI plus any pillar using AI","sources/political_project_brainstorm.txt:43560-43564",PROPOSED
PLOS-AIGV-0009,SYS,AIGV,"AI policy must distinguish assistive use, advisory use, and delegated decision use, with stricter safeguards as autonomy and consequence increase.",Real Freedom,"Technology and AI plus any pillar using AI","sources/political_project_brainstorm.txt:43564-43566",PROPOSED
PLOS-AIGV-0010,SYS,AIGV,"Public procurement of AI must require rights-impact review, interoperability review, data-governance review, and post-deployment accountability obligations.",Accountable Power + Clean Democracy,"Administrative state, technology and AI, procurement-heavy pillars","sources/political_project_brainstorm.txt:43972-43977",PROPOSED
PLOS-AIGV-0011,SYS,AIGV,"Release of high-capability AI models, weights, or tools must consider misuse risk, safety mitigations, and public-interest obligations proportional to capability.",Real Freedom + Accountable Power,"Technology and AI","sources/political_project_brainstorm.txt:43977-43982",PROPOSED
PLOS-AIGV-0012,SYS,AIGV,"AI systems may not be used to impersonate identifiable people in ways that facilitate fraud, coercion, denial of rights, or severe reputational harm.",Real Freedom,"Technology and AI, consumer rights, information and media","sources/political_project_brainstorm.txt:43982-43987",PROPOSED
PLOS-AIGV-0013,SYS,AIGV,"AI may be used to expand accessibility and disability support where it increases autonomy and access without replacing legally required accommodations or rights protections.",Real Freedom + Equal Justice,"Technology and AI, education, labor, healthcare","sources/political_project_brainstorm.txt:43987-43992",PROPOSED
PLOS-AIGV-0014,SYS,AIGV,"AI systems must be built with non-optional safety, security, and misuse-prevention controls that cannot be disabled, bypassed, or overridden in ordinary operation.",Real Freedom + Accountable Power,"Technology and AI","sources/political_project_brainstorm.txt:46247-46251",PROPOSED
PLOS-AIGV-0015,SYS,AIGV,"Any override of AI safety controls must be narrowly defined, federally approved in advance, time-limited, risk-ranked, scope-limited, mitigation-bound, and publicly disclosed except for tightly justified security confidentiality.",Accountable Power + Real Freedom,"Technology and AI","sources/political_project_brainstorm.txt:46259-46271; user prompt in current session",PROPOSED
PLOS-AIGV-0016,SYS,AIGV,"AI developers and deployers must actively design, test, and update safeguards against misuse by bad actors and against newly identified failure patterns.",Real Freedom + Accountable Power,"Technology and AI","sources/political_project_brainstorm.txt:46279-46283",PROPOSED
PLOS-AIGV-0017,SYS,AIGV,"A constitutionally established and funded AI regulatory authority must have adaptive rulemaking and aggressive enforcement power sufficient to prevent systemic harm, misuse, and regulatory lag.",Accountable Power + Clean Democracy,"Technology and AI, administrative state","sources/political_project_brainstorm.txt:46293-46311; user prompt in current session",PROPOSED
