authoring_rule_id,family_code,rule_text,purpose,applies_to,status
PAOS-AUTH-0005,AUTH,"Every proposed policy rule must identify whether it creates a right, duty, prohibition, process requirement, design constraint, reporting obligation, funding obligation, or enforcement mechanism.","Force consistent rule typing.","All new policy rules",DRAFT_1_0
PAOS-AUTH-0006,AUTH,"Every proposed policy rule must identify the level at which it operates: constitutional, statutory, regulatory, administrative, institutional, contractual, or technical-system design.","Prevent category errors in implementation planning.","All new policy rules",DRAFT_1_0
PAOS-AUTH-0007,AUTH,"Every policy section must separate universal principle statements from operational rules and from explanatory prose.","Keep documents structurally legible.","All pillar and system-rule documents",DRAFT_1_0
PAOS-AUTH-0008,AUTH,"Where a policy requires discretion, the rule set must state the governing standards, documentation duties, and review mechanisms that constrain that discretion.","Prevent unbounded discretionary power.","All rules with discretionary implementation",DRAFT_1_0
PAOS-AUTH-0009,AUTH,"Rules must balance explicit baseline commitments with bounded interpretive flexibility: the baseline must be specific enough to establish enforceable minimums and clear intent, while any open-textured language must not be interpretable in ways that defeat the rule’s purpose or protections.","Preserve both enforceability and future adaptability without letting vagueness hollow out the rule.","All new policy rules",DRAFT_1_0
PAOS-TEST-0001,TEST,"Every proposed rule must be tested for loopholes, exploit paths, burden-shifting, selective enforcement risk, and foreseeable abuse patterns before acceptance.","Make adversarial review part of rule design.","All new policy rules",DRAFT_1_0
PAOS-TEST-0002,TEST,"Every proposed rule affecting rights, access, or eligibility must be tested against practical barriers including cost, distance, disability, language, timing, digital access, and paperwork burden.","Ensure formal rights become usable rights.","All rights- or access-affecting rules",DRAFT_1_0
PAOS-TEST-0003,TEST,"Every proposed rule must be checked for conflict with existing rules in the same pillar, overlapping pillars, and applicable system overlays.","Preserve internal consistency.","All new policy rules",DRAFT_1_0
PAOS-TEST-0004,TEST,"Every proposed rule must be reviewed for whether it creates perverse incentives, hidden rationing, delay incentives, denial incentives, or extraction incentives.","Prevent structurally bad outcomes.","All new policy rules",DRAFT_1_0
PAOS-TEST-0005,TEST,"Every high-risk rule must be evaluated against bad-actor behavior, edge cases, noncompliance patterns, and likely institutional workarounds.","Stress-test the rule before adoption.","High-risk domains and enforcement-heavy rules",DRAFT_1_0
PAOS-TEST-0006,TEST,"Every rights-limiting or coercive rule must identify the least-abusive alternative considered and explain why the chosen design is justified.","Force necessity and proportionality review.","Rules that restrict rights or use coercive state power",DRAFT_1_0
PAOS-TEST-0007,TEST,"Every proposed rule set must define what successful implementation, implementation failure, non-enforcement, and systemic breakdown would look like in practice.","Make future evaluation possible.","All major policy sections",DRAFT_1_0
PAOS-ENFC-0001,ENFC,"No rule should be accepted as complete unless it defines who enforces it, how enforcement begins, what evidence is needed, and what happens when enforcement fails.","Convert policy from aspiration into executable design.","All enforceable rules",DRAFT_1_0
PAOS-ENFC-0002,ENFC,"Where violations are likely to recur or be concealed, the rule set must specify monitoring, audit, reporting, inspection, or detection mechanisms appropriate to the risk.","Require detection, not just punishment.","Rules in fraud-prone, opaque, or high-risk areas",DRAFT_1_0
PAOS-ENFC-0003,ENFC,"Where the platform proposes penalties, it must specify escalation logic and the threshold for moving from ordinary enforcement to structural intervention or individual liability.","Force proportional but real consequences.","All penalty-bearing rule sets",DRAFT_1_0
PAOS-ENFC-0004,ENFC,"Where a rule depends on reporting, the rule set must specify reporting format, cadence, auditability, and consequences for false, missing, or manipulated reporting.","Prevent fake compliance through bad reporting design.","All reporting-based compliance regimes",DRAFT_1_0
PAOS-ENFC-0005,ENFC,"Where a rule creates appeal, challenge, or review rights, the rule set must identify timelines, access standards, record access, and decision authority for that review.","Make review rights operational rather than symbolic.","All reviewable decision systems",DRAFT_1_0
PAOS-PLAC-0001,PLAC,"Every proposed rule must be placed at the narrowest scope that still preserves consistency: kernel, overlay, pillar, cross-pillar coordination rule, foundation prose, or strategy prose.","Prevent over-centralization of rule layers.","All new policy and system rules",DRAFT_1_0
PAOS-PLAC-0002,PLAC,"A rule belongs in the universal system layer only if it applies across multiple pillars as a design invariant rather than as a domain-specific policy preference.","Protect the kernel from scope drift.","All proposed system-level rules",DRAFT_1_0
PAOS-PLAC-0003,PLAC,"A rule belongs in an overlay when it is cross-domain but conditional, meaning it applies only to pillars with a recurring design problem such as geography, federalism, regulation, enforcement architecture, or AI.","Keep overlays distinct from the kernel.","All proposed overlay rules",DRAFT_1_0
PAOS-PLAC-0004,PLAC,"A rule belongs in a pillar when its implementation details, metrics, institutions, or harms are domain-specific enough that universal treatment would reduce clarity or accuracy.","Keep specifics where they belong.","All domain-specific rules",DRAFT_1_0
PAOS-PLAC-0005,PLAC,"A statement belongs in prose rather than canon when it expresses values, narrative framing, project identity, strategy, or history without creating a design invariant or enforceable policy requirement.","Prevent canon from absorbing rhetoric.","All value and framing statements",DRAFT_1_0
PAOS-MAINT-0001,MAINT,"Every major policy section must identify which rules are core, which are implementation-dependent, and which are expected to require future revision as conditions change.","Make maintenance explicit.","All major policy sections",DRAFT_1_0
PAOS-MAINT-0002,MAINT,"When a rule is revised, the revision must state whether the change closes a loophole, updates a condition, resolves a conflict, improves enforceability, or narrows overbreadth.","Preserve rationale for future maintenance.","All substantive revisions",DRAFT_1_0
PAOS-MAINT-0003,MAINT,"Deprecated rules should be superseded with visible traceability rather than silently removed when provenance or interpretation history matters.","Preserve design history and prevent accidental reintroduction of bad rules.","All canonical rule maintenance",DRAFT_1_0
PAOS-MAINT-0004,MAINT,"Every pillar must periodically review for missing policy areas, stale assumptions, under-enforced rules, and newly visible system vulnerabilities.","Make gap analysis recurring, not one-off.","All pillars",DRAFT_1_0
PAOS-MAINT-0005,MAINT,"Where a system overlay applies to a pillar, the pillar should explicitly state how that overlay is implemented locally rather than assuming the inheritance is obvious.","Make overlay inheritance concrete.","All pillars using overlays",DRAFT_1_0
